05/05/2024 14:38:12, add, high, 223126, Racelink 223126 average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [400]  Q-Team VDK Racing , , 
05/05/2024 14:38:50, add, high, 222964, Racelink 222964 average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [517]  DDK Mega , , 
05/05/2024 14:38:51, resolve, high, 223221, Racelink 223221 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Inter] Total violation time: 1009 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [471]  Autosphere , , 
05/05/2024 14:38:52, resolve, high, 222964, Racelink 222964 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Endurance] Total violation time: 1010 seconds., PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [517]  DDK Mega , , 
05/05/2024 14:38:54, add, high, 222962, Racelink 222962 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [278]  Acome Racing by AP , , 
05/05/2024 14:38:55, resolve, high, 222962, Racelink 222962 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Inter] Total violation time: 1013 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [278]  Acome Racing by AP , , 
05/05/2024 14:38:56, add, high, 222905, Racelink 222905 average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [432]  BR team 2 , , 
05/05/2024 14:38:59, resolve, high, 222905, Racelink 222905 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Endurance] Total violation time: 1017 seconds., PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 7, [432]  BR team 2 , , 
05/05/2024 14:39:04, add, low, 222905, Racelink 222905 average speed of 5 second(s) is above 30 kph in areas [Pit Essence], ESSSPEED, Generates alerts when racelink average speed of 5 second(s) is above 30 kph in areas [Pit Essence], 7, [432]  BR team 2 , , 
05/05/2024 14:39:04, resolve, low, 222905, Racelink 222905 average speed of 5 second(s) is no longer above 30 kph in areas [Pit Essence] Total violation time: 1022 seconds., ESSSPEED, Generates alerts when racelink average speed of 5 second(s) is above 30 kph in areas [Pit Essence], 7, [432]  BR team 2 , , 
05/05/2024 14:39:06, add, high, 222913, Racelink 222913 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 15, [406]  _8KSW Racing , , 
05/05/2024 14:39:06, resolve, high, 222913, Racelink 222913  no longer in areas [Pit Inter] Total violation time: 1024 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 15, [406]  _8KSW Racing , , 
05/05/2024 14:39:13, add, high, 222920, Racelink 222920 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [421]  VMax , , 
05/05/2024 14:39:21, update, high, 222920, Racelink 222920 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [421]  VMax , , 
05/05/2024 14:39:25, resolve, high, 222920, Racelink 222920 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Inter] Total violation time: 1043 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [421]  VMax , , 
05/05/2024 14:39:28, add, high, 213221, Racelink 213221 average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [414]  Schumacher by AC Motorsport , , 
05/05/2024 14:39:28, resolve, high, 213221, Racelink 213221 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Endurance] Total violation time: 1046 seconds., PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [414]  Schumacher by AC Motorsport , , 
05/05/2024 14:39:34, add, high, 223264, Racelink 223264 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 21, [520]  Zosh - Trio Race Events , , 
05/05/2024 14:39:34, resolve, high, 223264, Racelink 223264  no longer in areas [Pit Inter] Total violation time: 1052 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 21, [520]  Zosh - Trio Race Events , , 
05/05/2024 14:39:36, add, high, 222933, Racelink 222933 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [493]  Jusi Racing , , 
05/05/2024 14:39:42, resolve, high, 222933, Racelink 222933 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Inter] Total violation time: 1060 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [493]  Jusi Racing , , 
05/05/2024 14:39:46, add, high, 223281, Racelink 223281 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [427]  SPEBOFF , , 
05/05/2024 14:39:49, update, high, 223281, Racelink 223281 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [427]  SPEBOFF , , 
05/05/2024 14:39:49, resolve, high, 223281, Racelink 223281 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Inter] Total violation time: 1067 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [427]  SPEBOFF , , 
05/05/2024 14:39:55, add, high, 225530, Racelink 225530 average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 21, [404]  MILO Racing , , 
05/05/2024 14:39:55, resolve, high, 225530, Racelink 225530  no longer in areas [Pit Endurance] Total violation time: 1073 seconds., PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 21, [404]  MILO Racing , , 
05/05/2024 14:40:38, add, high, 222927, Racelink 222927 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [255]  DZ Racing By Acome , , 
05/05/2024 14:40:40, add, high, 222918, Racelink 222918 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [284]  Cash Converters By AC Motorsport , , 
05/05/2024 14:40:46, update, high, 222927, Racelink 222927 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [255]  DZ Racing By Acome , , 
05/05/2024 14:40:46, resolve, high, 222927, Racelink 222927 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Inter] Total violation time: 1124 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [255]  DZ Racing By Acome , , 
05/05/2024 14:40:47, resolve, high, 222918, Racelink 222918 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Inter] Total violation time: 1125 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [284]  Cash Converters By AC Motorsport , , 
05/05/2024 14:40:53, add, high, 223282, Racelink 223282 average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [482]  No Limit Racing , , 
05/05/2024 14:40:57, resolve, high, 223282, Racelink 223282  no longer in areas [Pit Endurance] Total violation time: 1135 seconds., PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [482]  No Limit Racing , , 
05/05/2024 14:40:58, add, high, 222856, Racelink 222856 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [440]  No Limit Racing , , 
05/05/2024 14:41:03, resolve, high, 222856, Racelink 222856 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Inter] Total violation time: 1141 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [440]  No Limit Racing , , 
05/05/2024 14:41:11, add, high, 223243, Racelink 223243 speed is above 53 kph in areas [Pit F1], PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [532]  GDL ITALY , , 
05/05/2024 14:41:11, resolve, high, 223243, Racelink 223243 speed is no longer above 53 kph in areas [Pit F1] Total violation time: 1149 seconds., PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [532]  GDL ITALY , , 
05/05/2024 14:41:12, add, high, 223243, Racelink 223243 speed is above 53 kph in areas [Pit F1], PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [532]  GDL ITALY , , 
05/05/2024 14:41:12, resolve, high, 223243, Racelink 223243 speed is no longer above 53 kph in areas [Pit F1] Total violation time: 1150 seconds., PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [532]  GDL ITALY , , 
05/05/2024 14:41:12, add, high, 223243, Racelink 223243 speed is above 53 kph in areas [Pit F1], PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [532]  GDL ITALY , , 
05/05/2024 14:41:15, resolve, high, 223243, Racelink 223243 speed is no longer above 53 kph in areas [Pit F1] Total violation time: 1153 seconds., PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [532]  GDL ITALY , , 
05/05/2024 14:41:15, add, high, 222853, Racelink 222853 speed is above 53 kph in areas [Pit F1], PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [258]  Currus Racing , , 
05/05/2024 14:41:17, resolve, high, 222853, Racelink 222853 speed is no longer above 53 kph in areas [Pit F1] Total violation time: 1155 seconds., PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [258]  Currus Racing , , 
05/05/2024 14:41:28, add, high, 225530, Racelink 225530 speed is above 53 kph in areas [Pit F1], PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [404]  MILO Racing , , 
05/05/2024 14:41:28, resolve, high, 225530, Racelink 225530 speed is no longer above 53 kph in areas [Pit F1] Total violation time: 1166 seconds., PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [404]  MILO Racing , , 
05/05/2024 14:41:34, add, high, 222916, Racelink 222916 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [219]  CG Racing , , 
05/05/2024 14:41:35, resolve, high, 222916, Racelink 222916 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Inter] Total violation time: 1173 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [219]  CG Racing , , 
05/05/2024 14:41:40, add, high, 223134, Racelink 223134 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [24]  Heinz Permormance , , 
05/05/2024 14:41:43, resolve, high, 223134, Racelink 223134 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Inter] Total violation time: 1181 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [24]  Heinz Permormance , , 
05/05/2024 14:41:54, add, high, 222853, Racelink 222853 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [258]  Currus Racing , , 
05/05/2024 14:42:00, update, high, 222853, Racelink 222853 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [258]  Currus Racing , , 
05/05/2024 14:42:03, add, high, 222957, Racelink 222957 speed is above 53 kph in areas [Pit F1], PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 3, [433]  AUVERTEAM , , 
05/05/2024 14:42:03, resolve, high, 222957, Racelink 222957  no longer in areas [Pit F1] Total violation time: 1201 seconds., PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 3, [433]  AUVERTEAM , , 
05/05/2024 14:42:05, add, low, 222927, Racelink 222927 average speed of 5 second(s) is above 30 kph in areas [Pit Essence], ESSSPEED, Generates alerts when racelink average speed of 5 second(s) is above 30 kph in areas [Pit Essence], Sector not found, [255]  DZ Racing By Acome , , 
05/05/2024 14:42:06, resolve, high, 222853, Racelink 222853  no longer in areas [Pit Inter] Total violation time: 1204 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [258]  Currus Racing , , 
05/05/2024 14:42:07, add, high, 222853, Racelink 222853 average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [258]  Currus Racing , , 
05/05/2024 14:42:07, resolve, high, 222853, Racelink 222853 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Endurance] Total violation time: 1205 seconds., PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [258]  Currus Racing , , 
05/05/2024 14:42:14, resolve, low, 222927, Racelink 222927 average speed of 5 second(s) is no longer above 30 kph in areas [Pit Essence] Total violation time: 1212 seconds., ESSSPEED, Generates alerts when racelink average speed of 5 second(s) is above 30 kph in areas [Pit Essence], Sector not found, [255]  DZ Racing By Acome , , 
05/05/2024 14:42:27, add, low, 223279, Racelink 223279 average speed of 5 second(s) is above 30 kph in areas [Pit Essence], ESSSPEED, Generates alerts when racelink average speed of 5 second(s) is above 30 kph in areas [Pit Essence], 7, [142]  Oufti Racing Team , , 
05/05/2024 14:42:28, resolve, low, 223279, Racelink 223279 average speed of 5 second(s) is no longer above 30 kph in areas [Pit Essence] Total violation time: 1226 seconds., ESSSPEED, Generates alerts when racelink average speed of 5 second(s) is above 30 kph in areas [Pit Essence], 7, [142]  Oufti Racing Team , , 
05/05/2024 14:42:43, add, high, 223132, Racelink 223132 speed is above 53 kph in areas [Pit F1], PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [402]  Zosh - 4C Motors , , 
05/05/2024 14:42:44, resolve, high, 223132, Racelink 223132 speed is no longer above 53 kph in areas [Pit F1] Total violation time: 1242 seconds., PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [402]  Zosh - 4C Motors , , 
05/05/2024 14:42:52, add, high, 223230, Racelink 223230 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [526]  GDL SPAIN , , 
05/05/2024 14:43:02, update, high, 223230, Racelink 223230 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [526]  GDL SPAIN , , 
05/05/2024 14:43:03, resolve, high, 223230, Racelink 223230 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Inter] Total violation time: 1261 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [526]  GDL SPAIN , , 
05/05/2024 14:43:12, add, high, 224220, Racelink 224220 average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 15, [541]  Michael Mazuin Sport , , 
05/05/2024 14:43:12, resolve, high, 224220, Racelink 224220  no longer in areas [Pit Endurance] Total violation time: 1270 seconds., PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 15, [541]  Michael Mazuin Sport , , 
05/05/2024 14:43:15, add, low, 225522, Racelink 225522 average speed of 5 second(s) is above 30 kph in areas [Pit Essence], ESSSPEED, Generates alerts when racelink average speed of 5 second(s) is above 30 kph in areas [Pit Essence], 7, [26]  DEX - AURIGA RACING , , 
05/05/2024 14:43:18, resolve, low, 225522, Racelink 225522 average speed of 5 second(s) is no longer above 30 kph in areas [Pit Essence] Total violation time: 1276 seconds., ESSSPEED, Generates alerts when racelink average speed of 5 second(s) is above 30 kph in areas [Pit Essence], 7, [26]  DEX - AURIGA RACING , , 
05/05/2024 14:46:08, add, high, 222856, Racelink 222856 average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 14, [440]  No Limit Racing , , 
05/05/2024 14:46:08, resolve, high, 222856, Racelink 222856  no longer in areas [Pit Endurance] Total violation time: 1446 seconds., PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 14, [440]  No Limit Racing , , 
05/05/2024 14:48:20, add, high, 222912, Racelink 222912 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 17, [529]  Ohres - Europierre - Sofrat , , 
05/05/2024 14:48:20, add, high, 223126, Racelink 223126 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 8, [400]  Q-Team VDK Racing , , 
05/05/2024 14:48:20, add, high, 222855, Racelink 222855 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 21, [509]  Sans aucun doute , , 
05/05/2024 14:48:20, add, high, 225476, Racelink 225476 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 9, [495]  Orthes systemic , , 
05/05/2024 14:48:20, add, high, 223250, Racelink 223250 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 20, [484]  Tecpro by M3M , , 
05/05/2024 14:48:20, add, high, 224012, Racelink 224012 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 17, [494]  Milo Iceman , , 
05/05/2024 14:48:20, add, high, 222915, Racelink 222915 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 19, [149]  Currus Racing , , 
05/05/2024 14:48:20, add, high, 223129, Racelink 223129 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 6, [33]  Food Lovers by M3M , , 
05/05/2024 14:48:20, add, high, 223164, Racelink 223164 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 22, [491]  M3M , , 
05/05/2024 14:48:20, add, high, 225605, Racelink 225605 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [79]  Spirit of Moby Dick by VFC , , 
05/05/2024 14:48:20, add, high, 223244, Racelink 223244 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 6, [519]  Redele Eurodatacar , , 
05/05/2024 14:48:20, add, high, 213076, Racelink 213076 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 18, [483]  ORHES ARTHRITIS , , 
05/05/2024 14:48:20, add, high, 222851, Racelink 222851 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 8, [538]  Trajectus , , 
05/05/2024 14:48:20, add, high, 223279, Racelink 223279 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 8, [142]  Oufti Racing Team , , 
05/05/2024 14:48:20, add, high, 222967, Racelink 222967 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 6, [283]  Milo Sono Xclusive , , 
05/05/2024 14:48:20, add, high, 222868, Racelink 222868 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 21, [416]  IFAE ANDY Galvanor Financieres W , , 
05/05/2024 14:48:20, add, high, 222968, Racelink 222968 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 22, [508]  Adelcom - Astonjet By SKR , , 
